sample,total_count,population,count,percentage
sample00023,104960,b_cell,6924,6.596798780487805
sample00023,104960,cd8_t_cell,28080,26.753048780487806
sample00023,104960,cd4_t_cell,29844,28.433689024390244
sample00023,104960,nk_cell,15792,15.045731707317072
sample00023,104960,monocyte,24320,23.170731707317074
sample00024,99969,b_cell,7552,7.554341845972251
sample00024,99969,cd8_t_cell,27821,27.82962718442717
sample00024,99969,cd4_t_cell,35270,35.28093709049806
sample00024,99969,nk_cell,19681,19.6871030019306
sample00024,99969,monocyte,9645,9.647990877171923
sample00025,95534,b_cell,11714,12.261603198861138
sample00025,95534,cd8_t_cell,21407,22.407729185420898
sample00025,95534,cd4_t_cell,30323,31.740532166558502
sample00025,95534,nk_cell,20301,21.250026168693868
sample00025,95534,monocyte,11789,12.340109280465594
sample00026,95777,b_cell,7936,8.285914154755318
sample00026,95777,cd8_t_cell,23786,24.834772440147425
sample00026,95777,cd4_t_cell,34545,36.0681583261117
sample00026,95777,nk_cell,13929,14.543157543042692
sample00026,95777,monocyte,15581,16.267997535942868
sample00027,93164,b_cell,8850,9.49937744193036
sample00027,93164,cd8_t_cell,21268,22.828560388132754
sample00027,93164,cd4_t_cell,26079,27.992572238203596
sample00027,93164,nk_cell,18191,19.52578249109098
sample00027,93164,monocyte,18776,20.153707440642307
sample00028,106062,b_cell,11386,10.735230336972714
sample00028,106062,cd8_t_cell,28155,26.545793969564972
sample00028,106062,cd4_t_cell,28400,26.77679093360487
sample00028,106062,nk_cell,8870,8.363032942995606
sample00028,106062,monocyte,29251,27.579151816861835
sample00029,97156,b_cell,5606,5.7701016921240065
sample00029,97156,cd8_t_cell,28476,29.309564000164684
sample00029,97156,cd4_t_cell,31305,32.22137593149162
sample00029,97156,nk_cell,15860,16.324262011610195
sample00029,97156,monocyte,15909,16.374696364609495
sample00030,93972,b_cell,6413,6.824373217554165
sample00030,93972,cd8_t_cell,25167,26.78138168816243
sample00030,93972,cd4_t_cell,20437,21.747967479674795
sample00030,93972,nk_cell,22317,23.748563401864384
sample00030,93972,monocyte,19638,20.897714212744223
sample00031,106625,b_cell,7007,6.571629542790152
sample00031,106625,cd8_t_cell,30482,28.588042203985932
sample00031,106625,cd4_t_cell,31653,29.686283704572098
sample00031,106625,nk_cell,14167,13.286752637749121
sample00031,106625,monocyte,23316,21.867291910902697
sample00032,101357,b_cell,11118,10.969148652781751
sample00032,101357,cd8_t_cell,19704,19.440196533046556
sample00032,101357,cd4_t_cell,32582,32.14578174176426
sample00032,101357,nk_cell,20603,20.327160432925204
sample00032,101357,monocyte,17350,17.117712639482225
sample00033,93131,b_cell,9054,9.721789737037076
sample00033,93131,cd8_t_cell,31679,34.015526516412365
sample00033,93131,cd4_t_cell,24897,26.733311142369352
sample00033,93131,nk_cell,15569,16.71731217317542
sample00033,93131,monocyte,11932,12.812060431005788
sample00034,103870,b_cell,8350,8.038894772311544
sample00034,103870,cd8_t_cell,26526,25.537691344950417
sample00034,103870,cd4_t_cell,36716,35.3480311928372
sample00034,103870,nk_cell,10994,10.584384326562049
sample00034,103870,monocyte,21284,20.49099836333879
sample00035,94622,b_cell,5327,5.629768975502526
sample00035,94622,cd8_t_cell,28094,29.6907695884678
sample00035,94622,cd4_t_cell,38264,40.4387985880662
sample00035,94622,nk_cell,7249,7.661009067658684
sample00035,94622,monocyte,15688,16.579653780304792
sample00036,103532,b_cell,8635,8.34041648958776
sample00036,103532,cd8_t_cell,29458,28.45303867403315
sample00036,103532,cd4_t_cell,31787,30.70258470810957
sample00036,103532,nk_cell,16498,15.935169802573117
sample00036,103532,monocyte,17154,16.5687903256964
sample00037,92368,b_cell,8915,9.65161094751429
sample00037,92368,cd8_t_cell,21012,22.748137883249612
sample00037,92368,cd4_t_cell,24564,26.593625498007967
sample00037,92368,nk_cell,14367,15.554087995842716
sample00037,92368,monocyte,23510,25.452537675385415
sample00038,98897,b_cell,12062,12.196527700536922
sample00038,98897,cd8_t_cell,18923,19.134048555567915
sample00038,98897,cd4_t_cell,33109,33.47826526588268
sample00038,98897,nk_cell,14376,14.536335783694147
sample00038,98897,monocyte,20427,20.65482269431833
sample00039,107756,b_cell,14634,13.580682282193102
sample00039,107756,cd8_t_cell,26888,24.952670848955048
sample00039,107756,cd4_t_cell,35553,32.99398641374958
sample00039,107756,nk_cell,11872,11.017483945209548
sample00039,107756,monocyte,18809,17.45517650989272
sample00040,105943,b_cell,11007,10.389549097156017
sample00040,105943,cd8_t_cell,25723,24.280037378590375
sample00040,105943,cd4_t_cell,25872,24.420679044391797
sample00040,105943,nk_cell,18325,17.297037085980197
sample00040,105943,monocyte,25016,23.612697393881614
sample00041,91358,b_cell,11583,12.67869261586287
sample00041,91358,cd8_t_cell,23517,25.741588038267036
sample00041,91358,cd4_t_cell,22586,24.722520195275727
sample00041,91358,nk_cell,14431,15.796098863810503
sample00041,91358,monocyte,19241,21.061100286783862
sample00042,111631,b_cell,12118,10.855407548082521
sample00042,111631,cd8_t_cell,22342,20.014153774489166
sample00042,111631,cd4_t_cell,41403,37.089159821196624
sample00042,111631,nk_cell,18660,16.71578683340649
sample00042,111631,monocyte,17108,15.3254920228252
sample00043,104827,b_cell,4750,4.531275339368674
sample00043,104827,cd8_t_cell,23553,22.468448014347448
sample00043,104827,cd4_t_cell,36392,34.71624676848522
sample00043,104827,nk_cell,15769,15.042880174000974
sample00043,104827,monocyte,24363,23.241149703797685
sample00044,106034,b_cell,15793,14.894279193466247
sample00044,106034,cd8_t_cell,25351,23.908369013712583
sample00044,106034,cd4_t_cell,37025,34.91804515532753
sample00044,106034,nk_cell,13972,13.176905520870664
sample00044,106034,monocyte,13893,13.10240111662297
sample00045,104473,b_cell,13792,13.201497037512084
sample00045,104473,cd8_t_cell,26314,25.187368985288064
sample00045,104473,cd4_t_cell,33714,32.27053879949843
sample00045,104473,nk_cell,17105,16.372651307036268
sample00045,104473,monocyte,13548,12.967943870665147
sample00046,105731,b_cell,7726,7.307223047166866
sample00046,105731,cd8_t_cell,25456,24.076193358617623
sample00046,105731,cd4_t_cell,29221,27.637116834230262
sample00046,105731,nk_cell,17901,16.930701497195713
sample00046,105731,monocyte,25427,24.048765262789534
sample00047,93338,b_cell,8249,8.837772397094431
sample00047,93338,cd8_t_cell,20566,22.033898305084747
sample00047,93338,cd4_t_cell,37597,40.28048597570122
sample00047,93338,nk_cell,11057,11.846193404615484
sample00047,93338,monocyte,15869,17.001649917504125
sample00048,105178,b_cell,13648,12.976097663009375
sample00048,105178,cd8_t_cell,32565,30.96179809465858
sample00048,105178,cd4_t_cell,31150,29.61645971591017
sample00048,105178,nk_cell,10330,9.821445549449505
sample00048,105178,monocyte,17485,16.62419897697237
sample00049,104513,b_cell,11419,10.92591352271966
sample00049,104513,cd8_t_cell,20811,19.91235540076354
sample00049,104513,cd4_t_cell,29883,28.59261527274119
sample00049,104513,nk_cell,21731,20.792628668203957
sample00049,104513,monocyte,20669,19.776487135571653
sample00050,106504,b_cell,14113,13.251145496882746
sample00050,106504,cd8_t_cell,32701,30.704011116953353
sample00050,106504,cd4_t_cell,32832,30.827011192067904
sample00050,106504,nk_cell,13959,13.106549988732818
sample00050,106504,monocyte,12899,12.111282205363178
sample00051,88918,b_cell,9765,10.982028385703682
sample00051,88918,cd8_t_cell,21622,24.316786252502304
sample00051,88918,cd4_t_cell,25644,28.840054882026138
sample00051,88918,nk_cell,12678,14.258080478643244
sample00051,88918,monocyte,19209,21.603050001124632
sample00052,95942,b_cell,11122,11.592420420670821
sample00052,95942,cd8_t_cell,30718,32.017260428175355
sample00052,95942,cd4_t_cell,21886,22.811698734652186
sample00052,95942,nk_cell,11639,12.131287652956996
sample00052,95942,monocyte,20577,21.44733276354464
sample00053,99135,b_cell,11822,11.925152569728148
sample00053,99135,cd8_t_cell,26750,26.983406465930297
sample00053,99135,cd4_t_cell,30587,30.853886114893832
sample00053,99135,nk_cell,7432,7.496847732889494
sample00053,99135,monocyte,22544,22.74070711655823
sample00054,99486,b_cell,7782,7.822206139557324
sample00054,99486,cd8_t_cell,26235,26.370544599240095
sample00054,99486,cd4_t_cell,26399,26.535391914440222
sample00054,99486,nk_cell,18328,18.422692640170474
sample00054,99486,monocyte,20742,20.849164706591882
sample00055,101344,b_cell,11645,11.490566782443953
sample00055,101344,cd8_t_cell,23172,22.864698452794443
sample00055,101344,cd4_t_cell,34912,34.44900536785602
sample00055,101344,nk_cell,15392,15.18787496053047
sample00055,101344,monocyte,16223,16.00785443637512
sample00056,92361,b_cell,11022,11.933608341182968
sample00056,92361,cd8_t_cell,18780,20.333257543768475
sample00056,92361,cd4_t_cell,24674,26.71473890494906
sample00056,92361,nk_cell,17791,19.262459263108887
sample00056,92361,monocyte,20094,21.75593594699061
sample00057,111127,b_cell,15157,13.63934957301106
sample00057,111127,cd8_t_cell,19991,17.98932752616376
sample00057,111127,cd4_t_cell,40906,36.810136150530475
sample00057,111127,nk_cell,11254,10.127151817290127
sample00057,111127,monocyte,23819,21.43403493300458
sample00058,93201,b_cell,10510,11.276703039666957
sample00058,93201,cd8_t_cell,20389,21.876374717009472
sample00058,93201,cd4_t_cell,28561,30.644520981534534
sample00058,93201,nk_cell,16299,17.488009785302733
sample00058,93201,monocyte,17442,18.714391476486306
sample00059,108944,b_cell,17545,16.104604200323102
sample00059,108944,cd8_t_cell,24675,22.649250991335
sample00059,108944,cd4_t_cell,33022,30.31098546042003
sample00059,108944,nk_cell,14244,13.074607137611984
sample00059,108944,monocyte,19458,17.860552210309883
sample00060,103534,b_cell,11035,10.658334460177333
sample00060,103534,cd8_t_cell,21406,20.67533370680163
sample00060,103534,cd4_t_cell,38817,37.49203160314486
sample00060,103534,nk_cell,14559,14.062047250178685
sample00060,103534,monocyte,17717,17.11225297969749
sample00061,111970,b_cell,4508,4.026078413860856
sample00061,111970,cd8_t_cell,34867,31.139590961864783
sample00061,111970,cd4_t_cell,38281,34.18862195230865
sample00061,111970,nk_cell,16013,14.301152094310977
sample00061,111970,monocyte,18301,16.34455657765473
sample00062,95286,b_cell,10066,10.563986314883614
sample00062,95286,cd8_t_cell,20104,21.098587410532502
sample00062,95286,cd4_t_cell,21554,22.620321978045045
sample00062,95286,nk_cell,17505,18.371009382280715
sample00062,95286,monocyte,26057,27.346094914258128
sample00063,93940,b_cell,7236,7.702789014264424
sample00063,93940,cd8_t_cell,32409,34.49968064722163
sample00063,93940,cd4_t_cell,29335,31.22737917819885
sample00063,93940,nk_cell,10459,11.13370236321056
sample00063,93940,monocyte,14501,15.436448797104536
sample00064,109577,b_cell,10199,9.307610173667832
sample00064,109577,cd8_t_cell,24842,22.670815955903155
sample00064,109577,cd4_t_cell,33535,30.604050120006935
sample00064,109577,nk_cell,16300,14.87538443286456
sample00064,109577,monocyte,24701,22.542139317557517
sample00065,92559,b_cell,8425,9.102302315279983
sample00065,92559,cd8_t_cell,28293,30.567529899847663
sample00065,92559,cd4_t_cell,24750,26.739701163582147
sample00065,92559,nk_cell,12096,13.068421223219785
sample00065,92559,monocyte,18995,20.52204539807042
sample00066,107284,b_cell,8052,7.505313001006674
sample00066,107284,cd8_t_cell,35323,32.92476044890198
sample00066,107284,cd4_t_cell,37350,34.81413817531039
sample00066,107284,nk_cell,13927,12.981432459639834
sample00066,107284,monocyte,12632,11.77435591514112
sample00067,107589,b_cell,11874,11.036444246158993
sample00067,107589,cd8_t_cell,24116,22.41493089442229
sample00067,107589,cd4_t_cell,29460,27.381981429328277
sample00067,107589,nk_cell,21402,19.892368178903048
sample00067,107589,monocyte,20737,19.27427525118739
sample00068,110245,b_cell,10501,9.52514853281328
sample00068,110245,cd8_t_cell,33801,30.659893872737992
sample00068,110245,cd4_t_cell,35458,32.16290988253436
sample00068,110245,nk_cell,7397,6.709601342464511
sample00068,110245,monocyte,23088,20.94244636944986
sample00069,110094,b_cell,11742,10.665431358657148
sample00069,110094,cd8_t_cell,30825,27.998801024578995
sample00069,110094,cd4_t_cell,35087,31.870038330880885
sample00069,110094,nk_cell,12904,11.720893055025705
sample00069,110094,monocyte,19536,17.744836230857267
sample00070,97532,b_cell,9131,9.362055530492556
sample00070,97532,cd8_t_cell,21272,21.81027765246278
sample00070,97532,cd4_t_cell,31460,32.256080055776565
sample00070,97532,nk_cell,15908,16.310544231636797
sample00070,97532,monocyte,19761,20.2610425296313
sample00071,96197,b_cell,5029,5.227813757185775
sample00071,96197,cd8_t_cell,19587,20.36134182978679
sample00071,96197,cd4_t_cell,36013,37.43671840078173
sample00071,96197,nk_cell,19596,20.37069763090325
sample00071,96197,monocyte,15972,16.603428381342454
sample00072,93613,b_cell,8730,9.325627850832683
sample00072,93613,cd8_t_cell,26500,28.3080341405574
sample00072,93613,cd4_t_cell,22481,24.014827000523432
sample00072,93613,nk_cell,16601,17.73364810442994
sample00072,93613,monocyte,19301,20.617862903656544
sample00073,104898,b_cell,10426,9.939179011992602
sample00073,104898,cd8_t_cell,28944,27.592518446490878
sample00073,104898,cd4_t_cell,26510,25.272169154797993
sample00073,104898,nk_cell,19451,18.542774886079812
sample00073,104898,monocyte,19567,18.653358500638717
sample00074,92232,b_cell,13166,14.274872061757307
sample00074,92232,cd8_t_cell,18608,20.175210339144765
sample00074,92232,cd4_t_cell,33699,36.53721051262035
sample00074,92232,nk_cell,15559,16.869416254662156
sample00074,92232,monocyte,11200,12.143290831815422
sample00075,104711,b_cell,14480,13.82853759394906
sample00075,104711,cd8_t_cell,26460,25.26955143203675
sample00075,104711,cd4_t_cell,33149,31.65760999321943
sample00075,104711,nk_cell,14983,14.308907373628367
sample00075,104711,monocyte,15639,14.935393607166391
sample00076,110097,b_cell,12385,11.24917118540923
sample00076,110097,cd8_t_cell,23764,21.58460266855591
sample00076,110097,cd4_t_cell,37340,33.9155471992879
sample00076,110097,nk_cell,15701,14.261060701018193
sample00076,110097,monocyte,20907,18.989618245728767
sample00077,105432,b_cell,9602,9.107291903786328
sample00077,105432,cd8_t_cell,18744,17.778283633052585
sample00077,105432,cd4_t_cell,42528,40.33689961302071
sample00077,105432,nk_cell,16602,15.746642385613477
sample00077,105432,monocyte,17956,17.0308824645269
sample00078,107869,b_cell,5623,5.212804420176325
sample00078,107869,cd8_t_cell,32983,30.57690346624146
sample00078,107869,cd4_t_cell,26856,24.896865642584988
sample00078,107869,nk_cell,18744,17.37663276752357
sample00078,107869,monocyte,23663,21.936793703473658
sample00079,99165,b_cell,5792,5.840770433116523
sample00079,99165,cd8_t_cell,32012,32.28155095043614
sample00079,99165,cd4_t_cell,32123,32.393485604800084
sample00079,99165,nk_cell,10792,10.882871981041697
sample00079,99165,monocyte,18446,18.601321030605558
sample00080,95727,b_cell,5519,5.765353557512509
sample00080,95727,cd8_t_cell,22834,23.85324934449006
sample00080,95727,cd4_t_cell,31007,32.39107043989679
sample00080,95727,nk_cell,17450,18.22892182978679
sample00080,95727,monocyte,18917,19.76140482831385
sample00081,93286,b_cell,9595,10.285573397937526
sample00081,93286,cd8_t_cell,18940,20.303153742255002
sample00081,93286,cd4_t_cell,31245,33.49377184143387
sample00081,93286,nk_cell,14582,15.631498831550287
sample00081,93286,monocyte,18924,20.286002186823318
sample00082,103389,b_cell,6068,5.8690963255278605
sample00082,103389,cd8_t_cell,31190,30.167619379237635
sample00082,103389,cd4_t_cell,30549,29.54763079244407
sample00082,103389,nk_cell,17900,17.31325382777665
sample00082,103389,monocyte,17682,17.102399675013782
sample00083,88242,b_cell,7306,8.279504091022416
sample00083,88242,cd8_t_cell,23204,26.295868180684934
sample00083,88242,cd4_t_cell,23762,26.9282201219374
sample00083,88242,nk_cell,16442,18.632850570023344
sample00083,88242,monocyte,17528,19.863557036331905
sample00084,100815,b_cell,10469,10.384367405644001
sample00084,100815,cd8_t_cell,24997,24.794921390666072
sample00084,100815,cd4_t_cell,28340,28.110896196002578
sample00084,100815,nk_cell,18128,17.981451172940535
sample00084,100815,monocyte,18881,18.728363834746812
sample00085,102542,b_cell,13770,13.428643872754579
sample00085,102542,cd8_t_cell,32384,31.58120574983909
sample00085,102542,cd4_t_cell,26218,25.568059916912095
sample00085,102542,nk_cell,17263,16.835052953911568
sample00085,102542,monocyte,12907,12.587037506582668
sample00086,105610,b_cell,12479,11.816115898115708
sample00086,105610,cd8_t_cell,18340,17.365779755704953
sample00086,105610,cd4_t_cell,31475,29.803048953697566
sample00086,105610,nk_cell,26652,25.236246567559892
sample00086,105610,monocyte,16664,15.778808824921882
sample00087,91946,b_cell,5686,6.184064559632828
sample00087,91946,cd8_t_cell,21892,23.809627389989778
sample00087,91946,cd4_t_cell,26848,29.199747677984906
sample00087,91946,nk_cell,12424,13.512278946338068
sample00087,91946,monocyte,25096,27.29428142605442
sample00088,101732,b_cell,6883,6.76581606574136
sample00088,101732,cd8_t_cell,23831,23.42527424999017
sample00088,101732,cd4_t_cell,31277,30.744505170447844
sample00088,101732,nk_cell,18993,18.66964180395549
sample00088,101732,monocyte,20748,20.394762709865137
sample00089,107271,b_cell,14432,13.453775950629714
sample00089,107271,cd8_t_cell,23729,22.120610416608404
sample00089,107271,cd4_t_cell,31757,29.604459732826207
sample00089,107271,nk_cell,15290,14.253619337938492
sample00089,107271,monocyte,22063,20.567534561997185
sample00090,102290,b_cell,13492,13.189950141753837
sample00090,102290,cd8_t_cell,20490,20.031283605435526
sample00090,102290,cd4_t_cell,26759,26.15993743278913
sample00090,102290,nk_cell,18101,17.695766937139506
sample00090,102290,monocyte,23448,22.923061882882003
sample00091,102598,b_cell,4652,4.5342014464219575
sample00091,102598,cd8_t_cell,30489,29.716953546852764
sample00091,102598,cd4_t_cell,33782,32.92656776935223
sample00091,102598,nk_cell,17885,17.432113686426636
sample00091,102598,monocyte,15790,15.390163550946411
sample00092,113429,b_cell,7510,6.620881785081417
sample00092,113429,cd8_t_cell,22955,20.23732907810172
sample00092,113429,cd4_t_cell,37137,32.74030450766559
sample00092,113429,nk_cell,22559,19.888212009274525
sample00092,113429,monocyte,23268,20.51327261987675
sample00093,109064,b_cell,8676,7.954962224015257
sample00093,109064,cd8_t_cell,22893,20.990427638817575
sample00093,109064,cd4_t_cell,33280,30.514193501063595
sample00093,109064,nk_cell,27470,25.187046138047386
sample00093,109064,monocyte,16745,15.353370498056186
sample00094,102270,b_cell,13462,13.163195462990124
sample00094,102270,cd8_t_cell,19888,19.446563019458296
sample00094,102270,cd4_t_cell,23802,23.273687298327957
sample00094,102270,nk_cell,19233,18.806101496039894
sample00094,102270,monocyte,25885,25.31045272318373
sample00095,93081,b_cell,4896,5.2599348954136715
sample00095,93081,cd8_t_cell,29022,31.179295452347954
sample00095,93081,cd4_t_cell,17746,19.065115329659115
sample00095,93081,nk_cell,13579,14.588369269775786
sample00095,93081,monocyte,27838,29.907285052803473
sample00096,108158,b_cell,8717,8.059505538194124
sample00096,108158,cd8_t_cell,29369,27.15379352428854
sample00096,108158,cd4_t_cell,31047,28.70522753749145
sample00096,108158,nk_cell,13509,12.49006083692376
sample00096,108158,monocyte,25516,23.59141256310213
sample00097,100776,b_cell,11469,11.380685877589903
sample00097,100776,cd8_t_cell,25912,25.712471223307137
sample00097,100776,cd4_t_cell,25644,25.446534889259347
sample00097,100776,nk_cell,11004,10.91926649202191
sample00097,100776,monocyte,26747,26.541041517821704
sample00098,105304,b_cell,10482,9.95403783332067
sample00098,105304,cd8_t_cell,25543,24.25643850186128
sample00098,105304,cd4_t_cell,31326,29.748157714806656
sample00098,105304,nk_cell,14459,13.730722479677885
sample00098,105304,monocyte,23494,22.31064347033351
sample00099,107859,b_cell,12589,11.67171955979566
sample00099,107859,cd8_t_cell,30282,28.075543070119323
sample00099,107859,cd4_t_cell,30346,28.13487979677171
sample00099,107859,nk_cell,18392,17.051891821730223
sample00099,107859,monocyte,16250,15.065965751583086
sample00100,106648,b_cell,12923,12.117433050783887
sample00100,106648,cd8_t_cell,24732,23.19030830395319
sample00100,106648,cd4_t_cell,32069,30.06994974120471
sample00100,106648,nk_cell,19335,18.12973520366064
sample00100,106648,monocyte,17589,16.49257370039757
sample00101,100154,b_cell,18583,18.554426183677137
sample00101,100154,cd8_t_cell,28514,28.470155959821874
sample00101,100154,cd4_t_cell,23455,23.418934840345866
sample00101,100154,nk_cell,11925,11.90666373784372
sample00101,100154,monocyte,17677,17.6498192783114
sample00102,102212,b_cell,16339,15.985402888114898
sample00102,102212,cd8_t_cell,15936,15.591124329824288
sample00102,102212,cd4_t_cell,30765,30.099205572731186
sample00102,102212,nk_cell,16631,16.27108363010214
sample00102,102212,monocyte,22541,22.05318357922749
sample00103,109022,b_cell,8845,8.113041404487168
sample00103,109022,cd8_t_cell,29598,27.148648896552988
sample00103,109022,cd4_t_cell,40757,37.38419768487094
sample00103,109022,nk_cell,9386,8.609271523178808
sample00103,109022,monocyte,20436,18.744840490910093
sample00104,110049,b_cell,7005,6.365346345718725
sample00104,110049,cd8_t_cell,22323,20.284600496142627
sample00104,110049,cd4_t_cell,37678,34.237476033403304
sample00104,110049,nk_cell,22843,20.75711728411889
sample00104,110049,monocyte,20200,18.355459840616454
sample00105,97807,b_cell,10654,10.892880877646794
sample00105,97807,cd8_t_cell,20879,21.347142842536833
sample00105,97807,cd4_t_cell,27062,27.668776263457627
sample00105,97807,nk_cell,14944,15.27907000521435
sample00105,97807,monocyte,24268,24.812130011144397
sample00106,93933,b_cell,10373,11.042977441367784
sample00106,93933,cd8_t_cell,17211,18.322634218006453
sample00106,93933,cd4_t_cell,31487,33.520700925127485
sample00106,93933,nk_cell,15182,16.162583969425015
sample00106,93933,monocyte,19680,20.951103446073265
sample00107,102371,b_cell,17623,17.214836232917527
sample00107,102371,cd8_t_cell,22928,22.39696789129734
sample00107,102371,cd4_t_cell,41127,40.17446347110021
sample00107,102371,nk_cell,10535,10.291000380967267
sample00107,102371,monocyte,10158,9.922732023717655
sample00108,97245,b_cell,4983,5.124170908530002
